1212TR|BP1216|110스노우트레싱지|파주|4|5||||||||||우찌누끼
VB055|BP1795|110엔젤클로스 V62|두성||||||||||||내지 무선/표지 박가공
VB056|BP1795|110엔젤클로스 V62|두성||||||||||||내지 유선/표지 박가공 중 로고는 제외
P_seal_paper|BP1900|120비안코 플래시 아이보리|두성|8|6|바른|||||||||272*394 재단 진행
BC5202|BP1506|230킨니_네추럴화이트||3|4||바른|바른|바른||올팩|||20,000|전면원색4도/무광금박(KBS_G18)/톰슨
1813LF|BP1806|140아레나_내추럴|삼원|2|3|코리아||코리아|코리아|예지가||||26|형압조각이 정확한 위치에 가공될것
BH7244|BP1103|110인견한지|대한|4|4||바른||바른|||||27|4도+먹1도/톰슨
seal_Clover_MT_K||SWS_Clover_MT||1|10|||||||||23|25ea포장
BC5207|BP1509|250코튼엠보_백색|대한|2|3|5|코리아|코리아|코리아|바른||올팩|||15,000
BI201|BP1876|110팬시캔버스_국전|대한|2|9||||코리아|||||5|톰슨
BI042|BP0997|110팬시켄버스|대한|2|9||||바른||바른|||18|175*241(120+121)
BC5205|BP1612|220올드밀BIANCO|삼원|4|4||||바른||올팩||||톰슨BC5204/BC5205 공용목형
1611TR|BP2001|130_대한트레싱지|대한|2|8|||||예지가|||||우찌누끼/풀발이
1813BR|BP1878|120리메이크 T05 Autum|삼원|3|3||||바른|예지가|||||톰슨(1813BR, 1813NV 동일칼선)
1813L_PE|BP1360|120레이드 진주|대한|4|8||||코리아||||||톰슨
BC4206A||||1|2.3||||||||||
seal_leaf_w_K||SWS_LEAF_4U_WH||1|7.5||||||||||1box: 25ea/화이트
1813PK|BP2002|116두성 디자이너스칼라 M50|두성|2|6|||||||||8|톰슨(1813시리즈 동일칼선)/형압/풀발이
1813YB|BP2003|116두성 디자이너스칼라 N07|두성|2|6|||||||||8|톰슨(1813시리즈 동일칼선)/형압/풀발이
seal_box_disney|BP1986|270AB라이트|한솔PNS|4|2||팬다콤||바른||||||4도/톰슨/무광코팅
leaflet_disney_b|BP1506|230킨니_네추럴화이트||4|9|||바른|바른|예지가|||||전,후 먹1도/재단
leaflet_disney_m|BP1506|230킨니_네추럴화이트||4|9|||바른|바른|예지가|||||전면4도,후면먹1도/재단
seal_disney_w||SWS_ribbon_CR||1|7||||||||||25ea BOX 포장
BC5268_seal||SWS_disney_RD||1|7||||||||||25EA OPP포장
BC1608|BP1565|550쿠션지_화이트(흰색)1.0mm|두성|1|21|||동원|동원||바른||||195*126 상업재단/형압(디보싱)
BC5217|BP1612|220올드밀BIANCO|삼원|3|5||바른|바른|바른||올팩|||18|전면원색4도/형압/톰슨
BH7660_I|BP1663|180레이드 진주|대한|4|9|바른|||||바른|||18|재단(116*171)
seal_flower_p_K||SWS_flower_PN||1|9|||||||||8|1set=25ea / 바른손박스 포장
seal_Maple_RG||SW_LEAF_RG||1|10||||||||||50EA OPP포장
disney_seal_paper|BP0171|120백상지유광|대한|4|9||||||||||내부 디지털먹1도/재단/300*500
BC5206|BP1888|240오슬로A19 누디 베이지|서경|4|4||||코리아||올팩|||30,000|톰슨BC5204/BC5205 공용목형
2110SV|BP0299|120밍크지은회|대한|2|6|||||예지가|||||우찌누끼
BC1601|BP1740|300그문드 엑스트라코튼_코튼크림|서경|1|10|||바른|바른||바른|||8|로고먹1도/형압조각/은자개홀로박(ws_s_144)/다찌인쇄
BC1602_I|BP1783|204분펠_내추럴01|두성|2|10|||코리아|코리아||올펙|||1|형압조각+박(백박k911)
BC4224|BP1888|240오슬로A19 누디 베이지|서경|4|4|바른||바른|바른||바른|||1|로고 박/BC4223/BC4224 칼선 동일
BC5224|BP1625|250올드밀BIANCO|삼원|3TK|6||바른||바른||올팩|||8|전멱먹1도/T3K/톰슨
BTG_PB_JSDlinepaper|DP060|140쉽스킨_White_8절|두성|8|8||||||||||
sealing_dear_G_K||SWS_DEAR_GL||1|8||||||||||1box: 25ea/
BH9218|BP1708|250크러쉬그레이프258|두성|4|4|||코리아|코리아||올펙|||22|박(무금박)/톰슨(BH9217, BH9218공용)
DP019|DP019|150컨셉트레싱지_디지털인쇄용_8절|두성|1|8|코리아|||||||||8절_272*394 재단
InnerCoverYB006|BP2004|250스노우화이트|대한|3|3||코리아||코리아||||||전면 4도/톰슨
InnerCoverYB005YB008|BP2004|250스노우화이트|대한|2|3||||||||||전면 4도/톰슨
InnerCoverYB003YB009|BP2004|250스노우화이트|대한|2|4||||||||||전면 4도/톰슨
InnerCoverYB001YB002|BP2004|250스노우화이트|대한|2|2||||||||||전면 4도/톰슨
BC5977_letter|BP1565|550쿠션지_화이트(흰색)1.0mm||2|12||||바른||||||150*150 톰슨
BC5292_letter|BP1565|550쿠션지_화이트(흰색)1.0mm||2|8||||바른||||||150*180 톰슨
BC5297_letter|BP1565|550쿠션지_화이트(흰색)1.0mm||2|16||||바른||||||152*107 톰슨
BC5308_letter|BP1565|550쿠션지_화이트(흰색)1.0mm|두성|2|9||||코리아||||||185*128 톰슨
BR-81WL|BP0333|120레이드백색|대한|4|6||||코리아||올팩||||톰슨
BC5289|BP1612|220올드밀BIANCO|삼원|4|4||||||||||무광먹박/톰슨
BC5290|BP1625|250올드밀BIANCO|삼원|4|4||코리아|코리아|||올팩|||10|전면 4도/무광금박(SC_G18)/톰슨
BC5291|BP1625|250올드밀BIANCO|삼원|4|4||코리아|코리아|||올팩|||10|전면4도/형압(디보)톰슨
Boxinside_01|BP2005|80팬시크라프트u80|두성|1|4||||||||||BOX006_크래프트지_270*660
Boxinside_02|BP2005|80팬시크라프트u80|두성|1|2||||||||||BOX005_008_크래프트지_440*760
Boxinside_03|BP2005|80팬시크라프트u80|두성|1|2||||||||||BOX003_009_크래프트지_335*790
Boxinside_04|BP2005|80팬시크라프트u80|두성|1|1||||||||||BOX001_002_크래프트지_440*1090
P_sample_pack2023_A|BP0170|100미색백상지|대한|2|4||코리아||코리아|예지가|||||별색1도(PANTONE426U)/톰슨/풀발이
P_sample_pack2023_B|BP0170|100미색백상지|대한|2|4||코리아||코리아|예지가|||||별색1도(PANTONE426U)/톰슨/풀발이
p_sample_leaflet2023|||||||코리아|코리아|코리아|||||22|표지(박k334,브론즈,크루즈)/내지 전,후면 4도/중청제본
P2RS_250NV2010_2_K|BP2006|240오슬로 A14인디고|서경|2|8||||코리아||||||톰슨
1813DO|BP1544|160킨니_네추럴화이트|대한|2|6||팬다콤||코리아|예지가|||||전면먹1도/톰슨/풀발이/1813GD 공용목형
1813GD|BP1538|120스타드림 130앤틱골드||2|6||||||||||톰슨/1813DO 공용목형
1107RE|BP2009|116디자이너스칼라N52||2|12||||||||||톰슨/풀발이
DI5206_I|BP1640|300킨니네츄럴화이트|대한||||||||||||
DI5205_I|BP1640|300킨니네츄럴화이트|대한||||||||||||
DI5201|BP1855|300그문드 엑스트라코튼_코튼화이트|서경||||||||||||
DI5202|BP1855|300그문드 엑스트라코튼_코튼화이트|서경||||||||||||
DI5203|BP1855|300그문드 엑스트라코튼_코튼화이트|서경||||||||||||
DI5211|BP2007|삼원 클래식크래스트에그쉘  CC03_270|삼원||||||||||||
DI5211-I|BP2008|삼원 클래식크래스트에그쉘  CC12레드페퍼_270|삼원||||||||||||
DI5210|BP1740|300그문드 엑스트라코튼_코튼크림|서경||||||||||||
DI5210-I|BP1676|270칼라플랜C31레이싱그린|삼원||||||||||||
DI5209|BP1740|300그문드 엑스트라코튼_코튼크림|서경||||||||||||
DI5209-I|BP1676|270칼라플랜C31레이싱그린|삼원||||||||||||
DI5208|BP2007|삼원 클래식크래스트에그쉘  CC03_270|삼원||||||||||||
